,Team,Played (Home),Played (Away),Total Played,Wins (Home),Wins (Away),Total Wins,Draws (Home),Draws (Away),Total Draws,Losses (Home),Losses (Away),Total Losses,Goals For (Home),Goals For (Away),Total Goals For,Goals Against (Home),Goals Against (Away),Total Goals Against,Formation,Games Played (Formation),Season
10,Tottenham,19,19,38,13,9,22,1,4,5,5,6,11,38,31,69,19,21,40,"['3-4-2-1' '3-4-3' '4-3-3' '4-2-3-1' '4-3-1-2' '4-3-2-1' '3-5-2' '5-3-2'
 '4-4-2']",[19  6  4  4  1  1  1  1  1],2021
11,West Ham,19,19,38,9,7,16,5,3,8,5,9,14,33,27,60,26,25,51,['4-2-3-1' '3-4-2-1' '4-4-2'],[33  3  2],2021
12,Chelsea,19,19,38,9,12,21,7,4,11,3,3,6,37,39,76,22,11,33,['3-4-2-1' '3-4-1-2' '4-3-3' '3-5-2' '3-4-3' '4-2-2-2'],[23  7  4  2  1  1],2021
13,Manchester City,19,19,38,15,14,29,2,4,6,2,1,3,58,41,99,15,11,26,['4-3-3' '4-2-3-1'],[28 10],2021
14,Brighton,19,19,38,5,7,12,7,8,15,7,4,11,19,23,42,23,21,44,"['3-5-2' '4-2-3-1' '4-3-1-2' '3-4-2-1' '4-4-2' '4-1-4-1' '3-1-4-2'
 '4-4-1-1' '3-4-1-2' '3-4-3' '4-3-3' '4-3-2-1']",[9 6 6 5 3 2 2 1 1 1 1 1],2021
15,Crystal Palace,19,19,38,7,4,11,8,7,15,4,8,12,27,23,50,17,29,46,['4-3-3' '4-2-3-1' '4-4-2' '5-3-2'],[28  8  1  1],2021
16,Brentford,19,19,38,7,6,13,3,4,7,9,9,18,22,26,48,21,35,56,['3-5-2' '4-3-3' '4-5-1' '5-3-2' '3-4-1-2'],[25  6  3  3  1],2021
17,Leeds,19,19,38,4,5,9,6,5,11,9,9,18,19,23,42,38,41,79,['4-2-3-1' '4-1-4-1' '3-3-3-1' '4-4-1-1' '3-4-3' '5-4-1' '4-3-1-2'],[16  9  6  2  2  2  1],2021
18,Aston Villa,19,19,38,6,7,13,5,1,6,8,11,19,29,23,52,29,25,54,['4-3-3' '4-3-1-2' '4-3-2-1' '4-2-3-1' '4-1-4-1' '5-3-2' '3-5-2' '3-4-1-2'],[15  9  4  2  2  2  2  2],2021
19,Norwich,19,19,38,3,2,5,3,4,7,13,13,26,12,11,23,43,41,84,"['4-3-3' '4-2-3-1' '5-3-2' '4-4-2' '4-1-4-1' '3-5-2' '4-3-1-2' '3-4-2-1'
 '5-4-1']",[11 10  5  4  4  1  1  1  1],2021
20,Manchester United,19,19,38,15,8,23,3,3,6,1,8,9,36,22,58,10,33,43,['4-2-3-1' '4-1-4-1' '4-3-3'],[33  3  2],2022
21,Newcastle,19,19,38,11,8,19,6,8,14,2,3,5,36,32,68,14,19,33,['4-3-3'],[38],2022
22,Bournemouth,19,19,38,6,5,11,4,2,6,9,12,21,20,17,37,28,43,71,['4-2-3-1' '4-4-2' '4-4-1-1' '3-4-2-1' '5-3-2' '5-4-1' '3-1-4-2' '3-5-1-1'],[12  7  7  6  2  2  1  1],2022
23,Fulham,19,19,38,8,7,15,5,2,7,6,10,16,31,24,55,29,24,53,['4-2-3-1'],[38],2022
24,Wolves,19,19,38,9,2,11,3,5,8,7,12,19,19,12,31,20,38,58,['4-2-3-1' '4-3-3' '4-4-2' '3-5-2' '3-4-2-1' '5-3-2'],[15 10 10  1  1  1],2022
25,Liverpool,19,19,38,13,6,19,5,5,10,1,8,9,46,29,75,17,30,47,['4-3-3' '4-2-3-1' '4-4-2' '4-3-1-2'],[32  2  2  2],2022
